Name ,Province,Address
Phòng khám Da liễu – 1 Trần Hưng Đạo        ,Nam Định,"1 Trần Hưng Đạo, TP. Nam Định"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Ninh Bình        ,Ninh Bình,"Đường Tuệ Tĩnh, Phường Nam Thành, TP. Ninh Bình"
Trung tâm Da liễu tỉnh Ninh Bình        ,Ninh Bình,"270 Hải Thượng Lãn Ông, Phường Phúc Thành, TP. Ninh Bình"
Phòng khám Chuyên khoa Da liễu Ninh Bình        ,Ninh Bình,"411 Lê Thái Tổ, Phường Phú Thành, TP. Ninh Bình"
Phòng khám Da liễu – BS. Lã Văn Đáp        ,Ninh Bình,"20B Trần Hưng Đạo, Phường Phúc Thành, TP. Ninh Bình"
Phòng khám Da liễu – BS. Đào Hữu Ghi        ,Ninh Bình,"14 Nguyễn Tử Mẫn, Phường Nam Bình, TP. Ninh Bình"
Bệnh viện Da liễu tỉnh Hà Giang        ,Hà Giang,"Số 11, tổ 10, phường Minh Khai, TP. Hà Giang, Hà Giang"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Hà Giang       ,Hà Giang,"Đường Trần Phú, phường Nguyễn Trãi, TP. Hà Giang, Hà Giang"
Phòng khám Da liễu – BS. Nguyễn Văn A     ,Hà Giang,"Số 5, đường Lê Duẩn, phường Trần Phú, TP. Hà Giang, Hà Giang"
Phòng khám Da liễu – Dr. Đoàn        ,Hà Giang,"249H2 đường 20/8, tổ 2, TP. Hà Giang, Hà Giang"
Bệnh viện Đa khoa tỉnh Cao Bằng        ,Cao Bằng,"Km2, đường Đông Khê, phường Tân Giang, TP. Cao Bằng, Cao Bằng"
Phòng khám Da liễu – BS. Nông Thị Thúy Hường        ,Cao Bằng,"22 Vườn Cam, phường Hợp Giang, TP. Cao Bằng, Cao Bằng"
Phòng khám Da liễu Phương Nhi        ,Cao Bằng,"Pắc Bó, phường Sông Bằng, TP. Cao Bằng, Cao Bằng"
Phòng khám Da liễu – BS. Triệu Thị Nhung        ,Cao Bằng,"Số 077, tổ 11, phường Sông Bằng, TP. Cao Bằng, Cao Bằng"
Bệnh viện Đa khoa Hà Nội – Cao Bằng        ,Cao Bằng,"Số 070A, đường 3/10, tổ 11, phường Sông Bằng, TP. Cao Bằng, Cao Bằng"
Bệnh viện Đa khoa tỉnh Bắc Kạn     ,Bắc Kạn,"Tổ 8, phường Đức Xuân, TP. Bắc Kạn, Bắc Kạn"
Trung tâm Y tế TP. Bắc Kạn        ,Bắc Kạn,"Tổ 10, phường Đức Xuân, TP. Bắc Kạn, Bắc Kạn"
Phòng khám Đa khoa Y học cổ truyền Tuệ Tâm        ,Bắc Kạn,"Số 123 đường Trường Chinh, TP. Bắc Kạn, Bắc Kạn"
Phòng khám Đa khoa An Khang        ,Bắc Kạn,"Tổ 5, phường Sông Cầu, TP. Bắc Kạn, Bắc Kạn"
Phòng khám Đa khoa Hưng Thịnh        ,Bắc Kạn,"Tổ 7, phường Phùng Chí Kiên, TP. Bắc Kạn, Bắc Kạn"
Bệnh viện Đa khoa tỉnh Tuyên Quang        ,Tuyên Quang,"Đường Lê Duẩn, phường Tân Quang, TP. Tuyên Quang, Tuyên Quang"
Trung tâm Y tế TP. Tuyên Quang        ,Tuyên Quang,"Đường Bình Thuận, phường Tân Quang, TP. Tuyên Quang, Tuyên Quang"
Phòng khám Đa khoa Tâm Đức        ,Tuyên Quang,"Số 56 đường 17/8, phường Minh Xuân, TP. Tuyên Quang, Tuyên Quang"
Phòng khám Đa khoa Hùng Vương       ,Tuyên Quang,"Tổ 10, phường Phan Thiết, TP. Tuyên Quang, Tuyên Quang"
Phòng khám Đa khoa An Phú        ,Tuyên Quang,"Tổ 5, phường Ỷ La, TP. Tuyên Quang, Tuyên Quang"
Bệnh viện Đa khoa tỉnh Lào Cai        ,Lào Cai,"Đường Chiêng On (B8), phường Bình Minh, TP. Lào Cai, Lào Cai"
Bệnh viện Đa khoa khu vực Sa Pa       ,Lào Cai,"Tổ 1A, đường Điện Biên Phủ, thị xã Sa Pa, Lào Cai"
Trung tâm Y tế TP. Lào Cai        ,Lào Cai,"Đường Hoàng Liên, phường Cốc Lếu, TP. Lào Cai, Lào Cai"
Phòng khám Đa khoa Việt An        ,Lào Cai,"Số 123 đường Nhạc Sơn, phường Kim Tân, TP. Lào Cai, Lào Cai"
Phòng khám Đa khoa Hòa Bình        ,Lào Cai,"Tổ 5, phường Bắc Cường, TP. Lào Cai, Lào Cai"
Bệnh viện Đa khoa tỉnh Yên Bái        ,Yên Bái,"Đường Thanh Niên, phường Nguyễn Thái Học, TP. Yên Bái, Yên Bái"
Phòng khám Đa khoa Hùng Vương        ,Yên Bái,"Số 45 đường Đinh Tiên Hoàng, phường Yên Thịnh, TP. Yên Bái, Yên Bái"
Phòng khám Đa khoa Tâm Đức        ,Yên Bái,"Số 123 đường Hòa Bình, phường Nguyễn Phúc, TP. Yên Bái, Yên Bái"
Phòng khám Đa khoa An Khang        ,Yên Bái,"Tổ 3, phường Minh Tân, TP. Yên Bái, Yên Bái"
Trung tâm Y tế TP. Yên Bái	,Yên Bái,"Đường Lê Hồng Phong, phường Đồng Tâm, TP. Yên Bái, Yên Bái"
Khoa Da liễu – Bệnh viện Đa khoa Trung ương Thái Nguyên        ,Thái Nguyên,"479 đường Lương Ngọc Quyến, phường Đồng Quang, TP. Thái Nguyên, Thái Nguyên"
Trung tâm Y tế TP. Thái Nguyên        ,Thái Nguyên,"Đường Nha Trang, phường Trưng Vương, TP. Thái Nguyên, Thái Nguyên"
Phòng khám Đa khoa Hoàng Gia        ,Thái Nguyên,"Tổ 8, phường Tân Lập, TP. Thái Nguyên, Thái Nguyên"
Phòng khám Đa khoa Yên Bình        ,Thái Nguyên,"Số 123 đường Cách Mạng Tháng Tám, phường Gia Sàng, TP. Thái Nguyên, Thái Nguyên"
Phòng khám Da liễu BS. Nguyễn Thị Minh        ,Thái Nguyên,"Số 56 đường Bắc Kạn, phường Hoàng Văn Thụ, TP. Thái Nguyên, Thái Nguyên"
Khoa Nội tổng hợp – Bệnh viện Đa khoa tỉnh Lạng Sơn        ,Lạng Sơn,"Số 39 đường Lê Đại Hành, phường Vĩnh Trại, TP. Lạng Sơn, Lạng Sơn"
Trung tâm Y tế TP. Lạng Sơn       ,Lạng Sơn," Đường Bắc Sơn, phường Hoàng Văn Thụ, TP. Lạng Sơn, Lạng Sơn"
Phòng khám Đa khoa An Khang        ,Lạng Sơn,"Số 45 đường Bà Triệu, phường Hoàng Văn Thụ, TP. Lạng Sơn, Lạng Sơn"
Phòng khám Đa khoa Hùng Vương        ,Lạng Sơn,"Khối 5, phường Chi Lăng, TP. Lạng Sơn, Lạng Sơn"
Phòng khám Đa khoa Hoàng Mai        ,Lạng Sơn,"Số 123 đường Trần Đăng Ninh, phường Tam Thanh, TP. Lạng Sơn, Lạng Sơn"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Bắc Giang        ,Bắc Giang,"Đường Lê Lợi, phường Hoàng Văn Thụ, TP. Bắc Giang, Bắc Giang"
Trung tâm Y tế TP. Bắc Giang        ,Bắc Giang,"Đường Nguyễn Thị Minh Khai, phường Ngô Quyền, TP. Bắc Giang, Bắc Giang"
Phòng khám Đa khoa Hòa Bình        ,Bắc Giang,"Số 45 đường Trần Nguyên Hãn, phường Trần Phú, TP. Bắc Giang, Bắc Giang"
Phòng khám Da liễu BS. Nguyễn Văn Hùng        ,Bắc Giang,"Số 123 đường Thánh Thiên, phường Lê Lợi, TP. Bắc Giang, Bắc Giang"
Phòng khám Đa khoa Tâm An        ,Bắc Giang,"Số 56 đường Nguyễn Văn Cừ, phường Dĩnh Kế, TP. Bắc Giang, Bắc Giang"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Phú Thọ        ,Phú Thọ,"Đường Trần Phú, phường Gia Cẩm, TP. Việt Trì, Phú Thọ"
Trung tâm Y tế TP. Việt Trì        ,Phú Thọ,"Đường Nguyễn Tất Thành, phường Nông Trang, TP. Việt Trì, Phú Thọ"
Phòng khám Đa khoa Hùng Vương        ,Phú Thọ,"Số 123 đường Hòa Phong, phường Gia Cẩm, TP. Việt Trì, Phú Thọ"
Phòng khám Đa khoa An Phú        ,Phú Thọ,"Số 78 đường Nguyễn Thái Học, phường Dữu Lâu, TP. Việt Trì, Phú Thọ"
Phòng khám Da liễu BS. Trần Văn Minh        ,Phú Thọ,"Số 45 đường Lê Quý Đôn, phường Tân Dân, TP. Việt Trì, Phú Thọ"
Khoa Da liễu - Bệnh viện Đa khoa tỉnh Điện Biên,Điện Biên,"Tôn Thất Tùng, Noong Bua, TP Điện Biên Phủ"
Phòng khám Đa khoa Bình An,Điện Biên,"159 Hoàng Công Chất, Tổ 30, Điện Biên Phủ, Điện Biên"
Phòng khám Da liễu Điện Biên,Điện Biên,"310 Hoàng Công Chất, Noong Bua, TP Điện Biên Phủ"
Da liễu thẩm mỹ BS Trương Hương,Điện Biên,"161, Tổ 12, P. Mường Thanh, TP Điện Biên Phủ"
Trung tâm Y tế TP. Điện Biên Phủ	,Điện Biên ,"Đường Võ Nguyên Giáp, phường Him Lam, TP. Điện Biên Phủ, Điện Biên"
Bệnh viện Đa khoa tỉnh Lai Châu        ,Lai Châu,"Đường 30/4, phường Đông Phong, TP. Lai Châu, Lai Châu"
Trung tâm Y tế TP. Lai Châu        ,Lai Châu,"Tổ 10, phường Quyết Thắng, TP. Lai Châu, Lai Châu"
Phòng khám Đa khoa Hùng Vương        ,Lai Châu,"Tổ 5, phường Tân Phong, TP. Lai Châu, Lai Châu"
Phòng khám Đa khoa Tâm An        ,Lai Châu,"Số 123 đường Trần Hưng Đạo, phường Đoàn Kết, TP. Lai Châu, Lai Châu"
Phòng khám Đa khoa Hòa Bình        ,Lai Châu,"Số 45 đường Lê Lợi, phường Quyết Tiến, TP. Lai Châu, Lai Châu"
Bệnh viện Đa khoa tỉnh Sơn La        ,Sơn La,"Đường Tô Hiệu, phường Chiềng Lề, TP. Sơn La, Sơn La"
Trung tâm Y tế TP. Sơn La        ,Sơn La,"Đường Lò Văn Giá, phường Chiềng Cơi, TP. Sơn La, Sơn La"
Phòng khám Đa khoa Hòa Bình        ,Sơn La,"Số 45 đường Nguyễn Lương Bằng, phường Quyết Thắng, TP. Sơn La, Sơn La"
Phòng khám Đa khoa Hùng Vương        ,Sơn La,"Số 123 đường Chu Văn Thịnh, phường Tô Hiệu, TP. Sơn La, Sơn La"
Phòng khám Đa khoa Tâm An        ,Sơn La,"Tổ 5, phường Chiềng Sinh, TP. Sơn La, Sơn La"
Bệnh viện Đa khoa tỉnh Hòa Bình        ,Hoà Bình,"Đường Lê Thánh Tông, phường Tân Thịnh, TP. Hòa Bình, Hòa Bình"
Trung tâm Y tế TP. Hòa Bình        ,Hoà Bình,"Đường Trần Hưng Đạo, phường Đồng Tiến, TP. Hòa Bình, Hòa Bình"
Phòng khám Đa khoa Hùng Vương        ,Hoà Bình,"Tổ 5, phường Thái Bình, TP. Hòa Bình, Hòa Bình"
Phòng khám Đa khoa Tâm An        ,Hoà Bình,"Số 123 đường Chi Lăng, phường Hữu Nghị, TP. Hòa Bình, Hòa Bình"
Phòng khám Đa khoa Hòa Bình       ,Hoà Bình,"Số 45 đường An Dương Vương, phường Phương Lâm, TP. Hòa Bình, Hòa Bình"
Bệnh viện Da liễu Thanh Hóa        ,Thanh Hoá,"181 Hải Thượng Lãn Ông, phường Đông Hải, TP. Thanh Hóa, Thanh Hóa"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Thanh Hóa        ,Thanh Hoá,"405 Lê Lai, phường Đông Sơn, TP. Thanh Hóa, Thanh Hóa"
Phòng khám Đa khoa Tâm An        ,Thanh Hoá,"Số 56 Trường Thi, phường Trường Thi, TP. Thanh Hóa, Thanh Hóa"
Phòng khám Da liễu BS. Nguyễn Văn Hùng        ,Thanh Hoá,"Số 123 Lê Hoàn, phường Ba Đình, TP. Thanh Hóa, Thanh Hóa"
Trung tâm Y tế TP. Thanh Hóa        ,Thanh Hoá,"Đường Trần Phú, phường Nam Ngạn, TP. Thanh Hóa, Thanh Hóa"
Bệnh viện Đa khoa tỉnh Nghệ An        ,Nghệ An,"Số 19 Tôn Thất Tùng, phường Hưng Dũng, TP. Vinh, Nghệ An"
Phòng khám Da liễu BS. Nguyễn Văn Hùng        ,Nghệ An,"Số 123 Lê Lợi, phường Lê Lợi, TP. Vinh, Nghệ An"
Khoa Da liễu – Bệnh viện Quốc tế Vinh        ,Nghệ An,"Số 99 Phạm Đình Toái, phường Hà Huy Tập, TP. Vinh, Nghệ An"
Phòng khám Đa khoa Tâm An        ,Nghệ An,"Số 45 đường Nguyễn Thị Minh Khai, phường Trường Thi, TP. Vinh, Nghệ An"
Trung tâm Y tế TP. Vinh        ,Nghệ An,"Đường Trần Phú, phường Hồng Sơn, TP. Vinh, Nghệ An"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Hà Tĩnh        ,Hà Tĩnh,"Số 75 Hải Thượng Lãn Ông, phường Bắc Hà, TP. Hà Tĩnh, Hà Tĩnh"
Phòng khám Đa khoa Hùng Vương        ,Hà Tĩnh,"Số 56 đường Lê Nin, phường Kỳ Trinh, TX. Kỳ Anh, Hà Tĩnh"
Trung tâm Y tế TP. Hà Tĩnh       ,Hà Tĩnh," Đường Lê Hồng Phong, phường Thạch Linh, TP. Hà Tĩnh, Hà Tĩnh"
Phòng khám Da liễu BS. Trần Văn Minh        ,Hà Tĩnh,"Số 123 đường Hà Huy Tập, phường Nam Hà, TP. Hà Tĩnh, Hà Tĩnh"
Phòng khám Đa khoa Tâm An        ,Hà Tĩnh,"Số 45 đường Phan Đình Phùng, phường Nguyễn Du, TP. Hà Tĩnh, Hà Tĩnh"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Quảng Bình        ,Quảng Bình,"Đường Nguyễn Văn Cừ, phường Nam Lý, TP. Đồng Hới, Quảng Bình"
Phòng khám Đa khoa Tâm An        ,Quảng Bình,"Số 123 đường Trần Hưng Đạo, phường Hải Thành, TP. Đồng Hới, Quảng Bình"
Trung tâm Y tế TP. Đồng Hới        ,Quảng Bình,"Đường Lê Lợi, phường Đức Ninh Bắc, TP. Đồng Hới, Quảng Bình"
Phòng khám Đa khoa Hùng Vương        ,Quảng Bình,"Số 45 đường Lý Thường Kiệt, phường Đồng Phú, TP. Đồng Hới, Quảng Bình"
Phòng khám Đa khoa Hòa Bình        ,Quảng Bình,"Số 56 đường Hà Huy Tập, phường Đồng Mỹ, TP. Đồng Hới, Quảng Bình"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Quảng Trị        ,Quảng Trị,"266 Hùng Vương, Phường Đông Lễ, TP. Đông Hà, Quảng Trị"
Phòng khám Da liễu Thẩm mỹ Đông Hà        ,Quảng Trị,"89 Huỳnh Thúc Kháng, Phường Đông Hải, TP. Đông Hà, Quảng Trị"
Phòng khám Da liễu – BS.CKI. Phạm Xuân Tài        ,Quảng Trị,"78 Lê Lợi, Phường 5, TP. Đông Hà, Quảng Trị"
Phòng khám Da liễu – BS. Vũ        ,Quảng Trị,"67 Đinh Tiên Hoàng, Phường 1, TP. Đông Hà, Quảng Trị"
Phòng khám Da liễu – BS. Ngọc        ,Quảng Trị,"29 Phan Bội Châu, Khóm 7, Hải Lăng, Quảng Trị"
Bệnh viện Da liễu Thừa Thiên Huế        ,Thừa Thiên Huế,"133 Bà Triệu, phường Phú Hội, TP. Huế, Thừa Thiên Huế"
Khoa Da liễu – Bệnh viện Trung ương Huế        ,Thừa Thiên Huế,"16 Lê Lợi, phường Vĩnh Ninh, TP. Huế, Thừa Thiên Huế"
Phòng khám Đa khoa Tâm An        ,Thừa Thiên Huế,"Số 123 Lê Duẩn, phường Phú Thuận, TP. Huế, Thừa Thiên Huế"
Khoa Da liễu – Bệnh viện Đại học Y Dược Huế        ,Thừa Thiên Huế,"41 Nguyễn Huệ, phường Vĩnh Ninh, TP. Huế, Thừa Thiên Huế"
Phòng khám Da liễu BS. Trần Văn Tiến        ,Thừa Thiên Huế,"Số 56 Hùng Vương, phường Phú Nhuận, TP. Huế, Thừa Thiên Huế"
Khoa Da liễu - Bệnh viện Đa khoa Đà Nẵng,Đà Nẵng,"124 Hải Phòng, Thạch Thang, Hải Châu, Đà Nẵng 550000"
Phòng khám Da liễu BS. Thanh Nhàn,Đà Nẵng,"69 Hoài Thanh, Đà Nẵng"
Phòng khám Đa khoa Pasteur	,Đà Nẵng,"Số 56 Hoàng Văn Thụ, phường Phước Ninh, quận Hải Châu, TP. Đà Nẵng"
Khoa Da liễu – Bệnh viện Đà Nẵng        ,Đà Nẵng,"124 Hải Phòng, phường Thạch Thang, quận Hải Châu, TP. Đà Nẵng"
Khoa Da liễu – Bệnh viện Đa khoa Quốc tế Vinmec Đà Nẵng       ,Đà Nẵng,"Đường 30/4, phường Hòa Cường Bắc, quận Hải Châu, TP. Đà Nẵng"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Quảng Nam        ,Quảng Nam,"Đường Phan Bội Châu, phường Tân Thạnh, TP. Tam Kỳ, Quảng Nam"
Bệnh viện Đa khoa khu vực Quảng Nam        ,Quảng Nam,"Thị trấn Nam Phước, huyện Duy Xuyên, Quảng Nam"
Trung tâm Y tế TP. Tam Kỳ        ,Quảng Nam,"Đường Hùng Vương, phường An Xuân, TP. Tam Kỳ, Quảng Nam"
Phòng khám Đa khoa Thái Bình Dương        ,Quảng Nam,"Số 6 Phan Đình Phùng, phường Cẩm Sơn, TP. Hội An, Quảng Nam"
Phòng khám Đa khoa Hội An Medical Services        ,Quảng Nam,"503 Hai Bà Trưng, phường Cẩm Phô, TP. Hội An, Quảng Nam"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Quảng Ngãi        ,Quảng Ngãi,"Đường Lê Hữu Trác, phường Nghĩa Lộ, TP. Quảng Ngãi, Quảng Ngãi"
Trung tâm Phong – Da liễu tỉnh Quảng Ngãi        ,Quảng Ngãi,"Đường Lê Hữu Trác, phường Nghĩa Lộ, TP. Quảng Ngãi, Quảng Ngãi"
Phòng khám Da liễu – BS. Nguyễn Văn Minh       ,Quảng Ngãi,"60 Bùi Thị Xuân, TP. Quảng Ngãi, Quảng Ngãi"
Phòng khám Da liễu – BS. Phạm Thị Tiết        ,Quảng Ngãi,"173 Bùi Thị Xuân, TP. Quảng Ngãi, Quảng Ngãi"
Phòng khám Da liễu – BS. Mai Văn Bắc        ,Quảng Ngãi,"65 Ngô Quyền, TP. Quảng Ngãi, Quảng Ngãi"
Bệnh viện Phong – Da liễu Trung ương Quy Hòa       ,Bình Định,"05A Chế Lan Viên, Phường Ghềnh Ráng, TP. Quy Nhơn, Bình Định"
Khoa Da liễu – Bệnh viện Đa khoa tỉnh Bình Định        ,Bình Định,"106 Nguyễn Huệ, TP. Quy Nhơn, Bình Định"
Phòng khám Da liễu – BS. Ân Nhụy       ,Bình Định," 04 Nguyễn Viết Xuân, TP. Quy Nhơn, Bình Định"
Phòng khám Da liễu – BS. Hoa Tấn Dũng       ,Bình Định,"Võ Liệu, Phường Ghềnh Ráng, TP. Quy Nhơn, Bình Định"
Phòng khám Da liễu – BS. Nguyễn Thị Thời Loan	,Bình Định,"18/3 Trần Văn Ơn, Phường Ghềnh Ráng, TP. Quy Nhơn, Bình Định"
Bệnh viện Da liễu Phú Yên        ,Phú Yên ,"02 Trần Phú, Phường 8, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Lê Văn Thuận        ,Phú Yên ,"20 Mai Xuân Thưởng, Phường 5, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Trương Công Dân        ,Phú Yên ,"21/7 Nguyễn Tất Thành, Phường 2, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Trần Minh Hảo       ,Phú Yên ,"82B Duy Tân, Phường 5, TP. Tuy Hòa, Phú Yên"
Phòng khám Da liễu – BS. Ngô Thị Mỹ Lệ       ,Phú Yên ,"21 Nguyễn Du, Phường 7, TP. Tuy Hòa, Phú Yên"
